United Airlines Aircraft Operating Statistics- Cost Per Block Hour (Unadjusted),,,,,,,,,,,,,,,,,,,,,,
United Airlines,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Other (inc. Tax),$40 ,$63 ,$63 ,$63 ,$70 ,$61 ,$84 ,$86 ,$100 ,$122 ,$144 ,$149 ,$145 ,$186 ,$123 ,$145 ,$192 ,$122 ,$94 ,$92 ,$120 
,,,,,,,,,,,,,,,,,,,,,,
,Maintenance,"$1,196 ","$1,176 ","$1,225 ","$1,159 ","$1,116 ","$1,225 ","$1,206 ","$1,203 ","$1,112 ","$1,038 ","$1,281 ","$1,410 ","$1,386 ","$1,371 ","$1,395 ","$1,331 ","$1,538 ","$1,421 ","$1,391 ","$1,426 ","$1,446 "
,Labor,$251 ,$222 ,$197 ,$206 ,$204 ,$217 ,$241 ,$211 ,$165 ,$134 ,$113 ,$97 ,$111 ,$113 ,$219 ,$360 ,$106 ,$111 ,$123 ,$140 ,$129 
,Materials,$279 ,$246 ,$228 ,$194 ,$236 ,$197 ,$246 ,$168 ,$196 ,$175 ,$235 ,$186 ,$188 ,$212 ,$161 ,$107 ,$227 ,$209 ,$237 ,$227 ,$208 
,Third Party,$109 ,$165 ,$250 ,$240 ,$226 ,$222 ,$265 ,$237 ,$266 ,$346 ,$443 ,$629 ,$590 ,$552 ,$577 ,$484 ,$686 ,$692 ,$725 ,$739 ,$823 
,Total Direct,$639 ,$632 ,$674 ,$618 ,$572 ,$635 ,$602 ,$617 ,$562 ,$585 ,$775 ,$912 ,$888 ,$877 ,$958 ,$951 ,"$1,019 ","$1,003 ","$1,082 ","$1,106 ","$1,137 "
,Burden,$557 ,$543 ,$550 ,$541 ,$545 ,$590 ,$604 ,$587 ,$552 ,$453 ,$505 ,$497 ,$498 ,$494 ,$437 ,$380 ,$519 ,$417 ,$309 ,$320 ,$309 
,,,,,,,,,,,,,,,,,,,,,,
,Aircraft Ownership,"$1,340 ","$1,344 ","$1,215 ","$1,140 ","$1,121 ","$1,235 ","$1,232 ","$1,225 ","$1,266 ","$1,165 ","$1,029 ",$815 ,$793 ,$787 ,$837 ,$750 ,$313 ,$369 ,$386 ,$348 ,$312 
,Rentals,$790 ,$759 ,$696 ,$644 ,$622 ,$669 ,$579 ,$593 ,$564 ,$526 ,$401 ,$264 ,$247 ,$222 ,$230 ,$225 ,$227 ,$303 ,$316 ,$278 ,$235 
,Depreciation and Amortization,$549 ,$585 ,$519 ,$496 ,$500 ,$566 ,$653 ,$633 ,$702 ,$640 ,$628 ,$551 ,$546 ,$565 ,$606 ,$525 ,$86 ,$67 ,$70 ,$70 ,$77 
,,,,,,,,,,,,,,,,,,,,,,
,Other,$14 ,$14 ,$21 ,$19 ,$10 ,$13 ,($92),$13 ,($66),($57),$36 ,$8 ,$24 ,$24 ,$7 ,$165 ,$664 ,$627 ,$740 ,$766 ,$822 
,,,,,,,,,,,,,,,,,,,,,,
,Indicies,,,,,,,,,,,,,,,,,,,,,
,Aircraft In Fleet,135,139,145,153,153,156,150,156,150,128,117,117,117,116,113,112,111,154,156,159,167
,Seats Per Departure,296,298,294,284,280,280,276,266,261,265,273,273,273,271,270,272,273,268,267,267,265
,Average Stage Length,"2,762","2,746","2,800","2,783","2,772","2,890","3,080","2,915","3,016","3,141","3,398","3,348","3,476","3,672","3,553","3,525","3,725","4,186","4,362","4,528","4,578"
,Gallons of Fuel Per Block Hour,"2,525","2,492","2,460","2,385","2,317","2,280","2,180","2,105","1,737","2,160","2,244","2,235","2,266","2,207","2,175","2,216","2,213","2,122","2,171","2,159","2,130"
,Load Factor,73.20%,74.10%,74.00%,72.60%,72.80%,74.00%,71.70%,75.80%,77.30%,81.10%,82.00%,82.90%,82.90%,79.80%,80.90%,83.90%,81.90%,81.60%,82.20%,81.30%,80.50%
,,,,,,,,,,,,,,,,,,,,,,
,Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
,Block Hours ,11.54,11.38,11.48,11.69,11.94,11.86,11.56,10.53,9.59,11.61,12.07,12.14,12.41,12.45,12.09,12.28,12.1,12.25,11.65,11.68,11.62
,Airborne Hours,10.7,10.53,10.63,10.79,10.96,10.9,10.7,9.66,8.15,10.8,10.91,11.99,12.43,12.46,12.12,12.24,12.15,12.26,11.65,11.71,11.65
,Departures,1.99,1.97,1.96,2,2.04,1.94,1.79,1.72,1.52,1.76,1.71,1.75,1.73,1.65,1.65,1.69,1.58,1.44,1.31,1.27,1.26
,,,,,,,,,,,,,,,,,,,,,,
,Total Fleet,"$3,014 ","$3,238 ","$3,319 ","$3,169 ","$3,119 ","$3,568 ","$3,928 ","$3,920 ","$3,478 ","$3,615 ","$4,238 ","$4,618 ","$4,899 ","$6,722 ","$4,701 ","$5,687 ","$6,711 ","$6,446 ","$6,438 ","$6,408 ","$5,164 "
